State,Year,Month,Value,Anomaly
AL,2000,1,63.9,0.0
AL,2000,2,63.9,0.0
AL,2000,3,64.5,0.6
AL,2000,4,63.9,0.0
AL,2000,5,64.2,0.3
AL,2000,6,64.3,0.4
AL,2000,7,64.4,0.5
AL,2000,8,64.4,0.5
AL,2000,9,64.4,0.5
AL,2000,10,64.5,0.6
AL,2000,11,64.2,0.2
AL,2000,12,63.6,-0.3
AL,2001,1,63.1,-0.8
AL,2001,2,63.2,-0.7
AL,2001,3,62.5,-1.4
AL,2001,4,62.9,-1.0
AL,2001,5,62.6,-1.3
AL,2001,6,62.5,-1.4
AL,2001,7,62.3,-1.6
AL,2001,8,62.1,-1.8
AL,2001,9,61.9,-2.0
AL,2001,10,61.6,-2.3
AL,2001,11,62.1,-1.9
AL,2001,12,63.0,-0.9
AL,2002,1,63.5,-0.4
AL,2002,2,63.0,-0.9
AL,2002,3,63.3,-0.6
AL,2002,4,63.4,-0.5
AL,2002,5,63.4,-0.5
AL,2002,6,63.5,-0.4
AL,2002,7,63.5,-0.4
AL,2002,8,63.6,-0.3
AL,2002,9,64.1,0.2
AL,2002,10,64.7,0.8
AL,2002,11,64.0,0.0
AL,2002,12,63.6,-0.3
AL,2003,1,63.0,-0.9
AL,2003,2,63.2,-0.7
AL,2003,3,63.4,-0.5
AL,2003,4,63.1,-0.8
AL,2003,5,63.3,-0.6
AL,2003,6,63.1,-0.8
AL,2003,7,63.0,-0.9
AL,2003,8,62.9,-1.0
AL,2003,9,62.6,-1.3
AL,2003,10,62.2,-1.7
AL,2003,11,62.8,-1.2
AL,2003,12,62.7,-1.2
AL,2004,1,63.1,-0.8
AL,2004,2,62.9,-1.0
AL,2004,3,63.0,-0.9
AL,2004,4,62.8,-1.1
AL,2004,5,62.9,-1.0
AL,2004,6,63.0,-0.9
AL,2004,7,63.1,-0.8
AL,2004,8,62.8,-1.1
AL,2004,9,62.9,-1.0
AL,2004,10,63.3,-0.6
AL,2004,11,63.2,-0.8
AL,2004,12,63.3,-0.6
AL,2005,1,63.8,-0.1
AL,2005,2,64.2,0.3
AL,2005,3,63.8,-0.1
AL,2005,4,63.8,-0.1
AL,2005,5,63.4,-0.5
AL,2005,6,63.4,-0.5
AL,2005,7,63.5,-0.4
AL,2005,8,63.8,-0.1
AL,2005,9,64.1,0.2
AL,2005,10,63.7,-0.2
AL,2005,11,63.5,-0.5
AL,2005,12,63.4,-0.5
AL,2006,1,63.6,-0.3
AL,2006,2,63.1,-0.8
AL,2006,3,63.3,-0.6
AL,2006,4,63.9,0.0
AL,2006,5,64.1,0.2
AL,2006,6,64.2,0.3
AL,2006,7,64.3,0.4
AL,2006,8,64.5,0.6
AL,2006,9,64.1,0.2
AL,2006,10,64.0,0.1
AL,2006,11,63.7,-0.3
AL,2006,12,64.2,0.3
AL,2007,1,63.8,-0.1
AL,2007,2,63.7,-0.2
AL,2007,3,64.1,0.2
AL,2007,4,63.4,-0.5
AL,2007,5,63.5,-0.4
AL,2007,6,63.6,-0.3
AL,2007,7,63.3,-0.6
AL,2007,8,63.5,-0.4
AL,2007,9,63.8,-0.1
AL,2007,10,64.2,0.3
AL,2007,11,64.2,0.2
AL,2007,12,64.4,0.5
AL,2008,1,64.1,0.2
AL,2008,2,64.5,0.6
AL,2008,3,64.1,0.2
AL,2008,4,64.3,0.4
AL,2008,5,64.2,0.3
AL,2008,6,64.2,0.3
AL,2008,7,64.3,0.4
AL,2008,8,63.8,-0.1
AL,2008,9,63.7,-0.2
AL,2008,10,63.3,-0.6
AL,2008,11,63.1,-0.9
AL,2008,12,62.9,-1.0
AL,2009,1,63.1,-0.8
AL,2009,2,63.0,-0.9
AL,2009,3,63.2,-0.7
AL,2009,4,63.1,-0.8
AL,2009,5,63.2,-0.7
AL,2009,6,63.2,-0.7
AL,2009,7,63.1,-0.8
AL,2009,8,63.0,-0.9
AL,2009,9,63.1,-0.8
AL,2009,10,63.1,-0.8
AL,2009,11,63.3,-0.7
AL,2009,12,62.9,-1.0
AL,2010,1,62.5,-1.4
AL,2010,2,61.8,-2.1
AL,2010,3,61.3,-2.6
AL,2010,4,61.6,-2.3
AL,2010,5,61.7,-2.2
AL,2010,6,61.9,-2.0
AL,2010,7,62.2,-1.7
AL,2010,8,62.7,-1.2
AL,2010,9,62.8,-1.1
AL,2010,10,62.9,-1.0
AL,2010,11,63.1,-0.9
AL,2010,12,62.7,-1.2
AL,2011,1,62.8,-1.1
AL,2011,2,63.5,-0.4
AL,2011,3,64.1,0.2
AL,2011,4,64.2,0.3
AL,2011,5,63.9,0.0
AL,2011,6,64.0,0.1
AL,2011,7,63.9,0.0
AL,2011,8,63.8,-0.1
AL,2011,9,63.4,-0.5
AL,2011,10,63.1,-0.8
AL,2011,11,63.1,-0.9
AL,2011,12,63.8,-0.1
AL,2012,1,64.6,0.7
AL,2012,2,64.8,0.9
AL,2012,3,65.4,1.5
AL,2012,4,65.3,1.4
AL,2012,5,65.6,1.7
AL,2012,6,65.2,1.3
AL,2012,7,65.2,1.3
AL,2012,8,64.9,1.0
AL,2012,9,65.0,1.1
AL,2012,10,65.1,1.2
AL,2012,11,64.8,0.8
AL,2012,12,64.9,1.0
AL,2013,1,64.9,1.0
AL,2013,2,64.6,0.7
AL,2013,3,63.3,-0.6
AL,2013,4,63.1,-0.8
AL,2013,5,62.7,-1.2
AL,2013,6,62.8,-1.1
AL,2013,7,62.4,-1.5
AL,2013,8,62.4,-1.5
AL,2013,9,62.6,-1.3
AL,2013,10,62.8,-1.1
AL,2013,11,62.9,-1.1
AL,2013,12,62.6,-1.3
AL,2014,1,61.5,-2.4
AL,2014,2,61.5,-2.4
AL,2014,3,61.7,-2.2
AL,2014,4,61.7,-2.2
AL,2014,5,61.9,-2.0
AL,2014,6,61.9,-2.0
AL,2014,7,61.9,-2.0
AL,2014,8,62.0,-1.9
AL,2014,9,62.1,-1.8
AL,2014,10,62.1,-1.8
AL,2014,11,61.9,-2.1
AL,2014,12,62.0,-1.9
AL,2015,1,62.6,-1.3
AL,2015,2,62.1,-1.8
AL,2015,3,62.5,-1.4
AL,2015,4,62.8,-1.1
AL,2015,5,63.0,-0.9
AL,2015,6,63.0,-0.9
AL,2015,7,63.3,-0.6
AL,2015,8,63.3,-0.6
AL,2015,9,63.1,-0.8
AL,2015,10,63.1,-0.8
AL,2015,11,64.0,0.0
AL,2015,12,64.6,0.7
AL,2016,1,64.6,0.7
AL,2016,2,65.3,1.4
AL,2016,3,65.4,1.5
AL,2016,4,65.2,1.3
AL,2016,5,65.1,1.2
AL,2016,6,65.1,1.2
AL,2016,7,65.2,1.3
AL,2016,8,65.4,1.5
AL,2016,9,65.7,1.8
AL,2016,10,66.0,2.1
AL,2016,11,65.9,1.9
AL,2016,12,65.3,1.4
AL,2017,1,66.1,2.2
AL,2017,2,66.6,2.7
AL,2017,3,66.5,2.6
AL,2017,4,66.8,2.9
AL,2017,5,66.8,2.9
AL,2017,6,66.5,2.6
AL,2017,7,66.4,2.5
AL,2017,8,66.1,2.2
AL,2017,9,65.7,1.8
AL,2017,10,65.5,1.6
AL,2017,11,65.3,1.3
AL,2017,12,65.0,1.1
AL,2018,1,64.0,0.1
AL,2018,2,64.2,0.3
AL,2018,3,64.0,0.1
AL,2018,4,63.3,-0.6
AL,2018,5,63.7,-0.2
AL,2018,6,64.0,0.1
AL,2018,7,64.0,0.1
AL,2018,8,64.1,0.2
AL,2018,9,64.6,0.7
AL,2018,10,64.7,0.8
AL,2018,11,64.3,0.3
AL,2018,12,64.5,0.6
AL,2019,1,65.0,1.1
AL,2019,2,64.8,0.9
AL,2019,3,64.8,0.9
AL,2019,4,65.1,1.2
AL,2019,5,65.1,1.2
AL,2019,6,65.0,1.1
AL,2019,7,65.0,1.1
AL,2019,8,65.1,1.2
AL,2019,9,65.1,1.2
AL,2019,10,65.2,1.3
AL,2019,11,65.2,1.2
AL,2019,12,65.4,1.5
AL,2020,1,65.6,1.7
AL,2020,2,65.2,1.3
AL,2020,3,65.9,2.0
AL,2020,4,65.8,1.9
AL,2020,5,65.3,1.4
AL,2020,6,65.2,1.3
AL,2020,7,65.3,1.4
AL,2020,8,65.2,1.3
AL,2020,9,64.7,0.8
AL,2020,10,64.7,0.8
AL,2020,11,65.3,1.3
AL,2020,12,64.9,1.0
AL,2021,1,64.6,0.7
AL,2021,2,64.3,0.4
AL,2021,3,63.9,0.0
AL,2021,4,63.9,0.0
AL,2021,5,64.0,0.1
AL,2021,6,64.0,0.1
AL,2021,7,63.8,-0.1
AL,2021,8,63.8,-0.1
AL,2021,9,63.8,-0.1
AL,2021,10,63.8,-0.1
AL,2021,11,63.3,-0.7
AL,2021,12,64.2,0.3
AL,2022,1,64.0,0.1
AL,2022,2,64.3,0.4
AL,2022,3,64.1,0.2
AL,2022,4,64.2,0.3
AL,2022,5,64.5,0.6
AL,2022,6,64.8,0.9
AL,2022,7,65.0,1.1
AL,2022,8,64.9,1.0
AL,2022,9,64.9,1.0
AL,2022,10,64.4,0.5
AL,2022,11,64.7,0.7
AL,2022,12,64.0,0.1
AL,2023,1,64.6,0.7
AL,2023,2,65.2,1.3
AL,2023,3,65.3,1.4
AL,2023,4,65.3,1.4
AL,2023,5,65.1,1.2
AL,2023,6,64.8,0.9
AL,2023,7,64.7,0.8
AL,2023,8,64.9,1.0
AL,2023,9,65.1,1.2
AL,2023,10,65.4,1.5
AL,2023,11,65.4,1.4
AL,2023,12,65.3,1.4
AR,2000,1,62.1,0.8
AR,2000,2,62.0,0.7
AR,2000,3,62.5,1.2
AR,2000,4,62.2,0.9
AR,2000,5,62.4,1.1
AR,2000,6,62.3,1.0
AR,2000,7,62.2,0.9
AR,2000,8,62.4,1.1
AR,2000,9,62.5,1.2
AR,2000,10,62.7,1.4
AR,2000,11,61.9,0.6
AR,2000,12,60.9,-0.4
AR,2001,1,60.5,-0.8
AR,2001,2,60.2,-1.1
AR,2001,3,59.6,-1.7
AR,2001,4,60.1,-1.2
AR,2001,5,60.1,-1.2
AR,2001,6,60.1,-1.2
AR,2001,7,60.3,-1.0
AR,2001,8,60.0,-1.3
AR,2001,9,59.8,-1.5
AR,2001,10,59.4,-1.9
AR,2001,11,60.1,-1.2
AR,2001,12,61.2,-0.1
AR,2002,1,61.7,0.4
AR,2002,2,61.4,0.1
AR,2002,3,61.4,0.1
AR,2002,4,61.3,0.0
AR,2002,5,61.0,-0.3
AR,2002,6,61.1,-0.2
AR,2002,7,61.0,-0.3
AR,2002,8,60.9,-0.4
AR,2002,9,61.3,0.0
AR,2002,10,61.4,0.1
AR,2002,11,60.8,-0.5
AR,2002,12,60.6,-0.7
AR,2003,1,60.1,-1.2
AR,2003,2,59.9,-1.4
AR,2003,3,60.2,-1.1
AR,2003,4,60.0,-1.3
AR,2003,5,60.3,-1.0
AR,2003,6,60.0,-1.3
AR,2003,7,59.9,-1.4
AR,2003,8,60.0,-1.3
AR,2003,9,59.6,-1.7
AR,2003,10,59.8,-1.5
AR,2003,11,60.3,-1.0
AR,2003,12,60.3,-1.0
AR,2004,1,60.6,-0.7
AR,2004,2,60.7,-0.6
AR,2004,3,61.1,-0.2
AR,2004,4,61.0,-0.3
AR,2004,5,61.1,-0.2
AR,2004,6,61.3,0.0
AR,2004,7,61.1,-0.2
AR,2004,8,60.7,-0.6
AR,2004,9,60.9,-0.4
AR,2004,10,61.1,-0.2
AR,2004,11,61.1,-0.2
AR,2004,12,61.0,-0.3
AR,2005,1,61.3,0.0
AR,2005,2,61.9,0.6
AR,2005,3,61.5,0.2
AR,2005,4,61.5,0.2
AR,2005,5,61.2,-0.1
AR,2005,6,61.3,0.0
AR,2005,7,61.5,0.2
AR,2005,8,62.1,0.8
AR,2005,9,62.4,1.1
AR,2005,10,62.1,0.8
AR,2005,11,62.1,0.8
AR,2005,12,62.0,0.7
AR,2006,1,62.2,0.9
AR,2006,2,61.6,0.3
AR,2006,3,61.9,0.6
AR,2006,4,62.4,1.1
AR,2006,5,62.6,1.3
AR,2006,6,62.5,1.2
AR,2006,7,62.5,1.2
AR,2006,8,62.5,1.2
AR,2006,9,61.9,0.6
AR,2006,10,61.8,0.5
AR,2006,11,61.6,0.3
AR,2006,12,62.0,0.7
AR,2007,1,61.4,0.1
AR,2007,2,61.4,0.1
AR,2007,3,61.9,0.6
AR,2007,4,61.1,-0.2
AR,2007,5,61.2,-0.1
AR,2007,6,61.3,0.0
AR,2007,7,61.0,-0.3
AR,2007,8,61.1,-0.2
AR,2007,9,61.5,0.2
AR,2007,10,61.8,0.5
AR,2007,11,61.9,0.6
AR,2007,12,61.8,0.5
AR,2008,1,61.7,0.4
AR,2008,2,62.0,0.7
AR,2008,3,61.3,0.0
AR,2008,4,61.4,0.1
AR,2008,5,61.2,-0.1
AR,2008,6,61.3,0.0
AR,2008,7,61.5,0.2
AR,2008,8,61.0,-0.3
AR,2008,9,60.7,-0.6
AR,2008,10,60.4,-0.9
AR,2008,11,60.1,-1.2
AR,2008,12,59.9,-1.4
AR,2009,1,59.8,-1.5
AR,2009,2,60.1,-1.2
AR,2009,3,60.2,-1.1
AR,2009,4,60.3,-1.0
AR,2009,5,60.2,-1.1
AR,2009,6,60.3,-1.0
AR,2009,7,60.1,-1.2
AR,2009,8,60.0,-1.3
AR,2009,9,60.0,-1.3
AR,2009,10,59.7,-1.6
AR,2009,11,60.2,-1.1
AR,2009,12,59.9,-1.4
AR,2010,1,59.8,-1.5
AR,2010,2,58.9,-2.4
AR,2010,3,58.7,-2.6
AR,2010,4,59.0,-2.3
AR,2010,5,59.3,-2.0
AR,2010,6,59.6,-1.7
AR,2010,7,59.9,-1.4
AR,2010,8,60.5,-0.8
AR,2010,9,60.8,-0.5
AR,2010,10,61.3,0.0
AR,2010,11,61.1,-0.2
AR,2010,12,61.2,-0.1
AR,2011,1,61.3,0.0
AR,2011,2,61.9,0.6
AR,2011,3,62.1,0.8
AR,2011,4,62.1,0.8
AR,2011,5,61.7,0.4
AR,2011,6,61.7,0.4
AR,2011,7,62.0,0.7
AR,2011,8,61.9,0.6
AR,2011,9,61.5,0.2
AR,2011,10,61.3,0.0
AR,2011,11,61.5,0.2
AR,2011,12,61.8,0.5
AR,2012,1,62.4,1.1
AR,2012,2,62.7,1.4
AR,2012,3,63.5,2.2
AR,2012,4,63.6,2.3
AR,2012,5,64.1,2.8
AR,2012,6,63.7,2.4
AR,2012,7,63.7,2.4
AR,2012,8,63.5,2.2
AR,2012,9,63.7,2.4
AR,2012,10,63.6,2.3
AR,2012,11,63.4,2.1
AR,2012,12,63.6,2.3
AR,2013,1,63.4,2.1
AR,2013,2,63.1,1.8
AR,2013,3,61.8,0.5
AR,2013,4,61.3,0.0
AR,2013,5,60.8,-0.5
AR,2013,6,60.7,-0.6
AR,2013,7,60.2,-1.1
AR,2013,8,60.1,-1.2
AR,2013,9,60.2,-1.1
AR,2013,10,60.4,-0.9
AR,2013,11,60.2,-1.1
AR,2013,12,59.6,-1.7
AR,2014,1,59.1,-2.2
AR,2014,2,58.7,-2.6
AR,2014,3,58.7,-2.6
AR,2014,4,58.8,-2.5
AR,2014,5,58.9,-2.4
AR,2014,6,58.8,-2.5
AR,2014,7,58.6,-2.7
AR,2014,8,58.6,-2.7
AR,2014,9,58.4,-2.9
AR,2014,10,58.6,-2.7
AR,2014,11,58.4,-2.9
AR,2014,12,58.7,-2.6
AR,2015,1,59.0,-2.3
AR,2015,2,58.7,-2.6
AR,2015,3,59.0,-2.3
AR,2015,4,59.2,-2.1
AR,2015,5,59.3,-2.0
AR,2015,6,59.5,-1.8
AR,2015,7,60.0,-1.3
AR,2015,8,59.9,-1.4
AR,2015,9,60.1,-1.2
AR,2015,10,60.1,-1.2
AR,2015,11,60.9,-0.4
AR,2015,12,61.4,0.1
AR,2016,1,61.5,0.2
AR,2016,2,62.4,1.1
AR,2016,3,62.9,1.6
AR,2016,4,62.9,1.6
AR,2016,5,62.7,1.4
AR,2016,6,62.8,1.5
AR,2016,7,62.8,1.5
AR,2016,8,62.9,1.6
AR,2016,9,63.0,1.7
AR,2016,10,63.3,2.0
AR,2016,11,63.4,2.1
AR,2016,12,62.8,1.5
AR,2017,1,63.3,2.0
AR,2017,2,63.7,2.4
AR,2017,3,63.8,2.5
AR,2017,4,63.9,2.6
AR,2017,5,63.9,2.6
AR,2017,6,63.7,2.4
AR,2017,7,63.5,2.2
AR,2017,8,63.3,2.0
AR,2017,9,63.1,1.8
AR,2017,10,62.7,1.4
AR,2017,11,62.6,1.3
AR,2017,12,62.5,1.2
AR,2018,1,61.8,0.5
AR,2018,2,61.2,-0.1
AR,2018,3,61.1,-0.2
AR,2018,4,60.3,-1.0
AR,2018,5,60.9,-0.4
AR,2018,6,61.3,0.0
AR,2018,7,61.4,0.1
AR,2018,8,61.6,0.3
AR,2018,9,61.7,0.4
AR,2018,10,61.7,0.4
AR,2018,11,61.0,-0.3
AR,2018,12,61.2,-0.1
AR,2019,1,61.6,0.3
AR,2019,2,61.6,0.3
AR,2019,3,61.2,-0.1
AR,2019,4,61.7,0.4
AR,2019,5,61.3,0.0
AR,2019,6,60.9,-0.4
AR,2019,7,60.7,-0.6
AR,2019,8,60.8,-0.5
AR,2019,9,61.2,-0.1
AR,2019,10,61.0,-0.3
AR,2019,11,61.1,-0.2
AR,2019,12,61.2,-0.1
AR,2020,1,61.5,0.2
AR,2020,2,61.4,0.1
AR,2020,3,62.0,0.7
AR,2020,4,61.8,0.5
AR,2020,5,61.5,0.2
AR,2020,6,61.6,0.3
AR,2020,7,61.8,0.5
AR,2020,8,61.6,0.3
AR,2020,9,60.9,-0.4
AR,2020,10,60.8,-0.5
AR,2020,11,61.4,0.1
AR,2020,12,61.2,-0.1
AR,2021,1,60.9,-0.4
AR,2021,2,60.1,-1.2
AR,2021,3,60.0,-1.3
AR,2021,4,60.0,-1.3
AR,2021,5,60.0,-1.3
AR,2021,6,60.0,-1.3
AR,2021,7,59.9,-1.4
AR,2021,8,60.1,-1.2
AR,2021,9,60.3,-1.0
AR,2021,10,60.8,-0.5
AR,2021,11,60.5,-0.8
AR,2021,12,61.4,0.1
AR,2022,1,61.1,-0.2
AR,2022,2,61.7,0.4
AR,2022,3,61.5,0.2
AR,2022,4,61.6,0.3
AR,2022,5,62.0,0.7
AR,2022,6,62.1,0.8
AR,2022,7,62.5,1.2
AR,2022,8,62.4,1.1
AR,2022,9,62.3,1.0
AR,2022,10,62.0,0.7
AR,2022,11,62.0,0.7
AR,2022,12,61.2,-0.1
AR,2023,1,61.8,0.5
AR,2023,2,62.4,1.1
AR,2023,3,62.4,1.1
AR,2023,4,62.5,1.2
AR,2023,5,62.4,1.1
AR,2023,6,62.3,1.0
AR,2023,7,62.0,0.7
AR,2023,8,62.2,0.9
AR,2023,9,62.3,1.0
AR,2023,10,62.5,1.2
AR,2023,11,62.7,1.4
AR,2023,12,62.9,1.6
AZ,2000,1,60.8,-0.6
AZ,2000,2,60.9,-0.5
AZ,2000,3,60.6,-0.8
AZ,2000,4,61.4,0.0
AZ,2000,5,61.9,0.5
AZ,2000,6,62.1,0.7
AZ,2000,7,62.4,1.0
AZ,2000,8,62.5,1.1
AZ,2000,9,62.7,1.3
AZ,2000,10,62.4,1.0
AZ,2000,11,61.5,0.1
AZ,2000,12,61.7,0.3
AZ,2001,1,61.2,-0.2
AZ,2001,2,60.9,-0.5
AZ,2001,3,61.0,-0.4
AZ,2001,4,60.6,-0.8
AZ,2001,5,60.6,-0.8
AZ,2001,6,60.6,-0.8
AZ,2001,7,60.4,-1.0
AZ,2001,8,60.4,-1.0
AZ,2001,9,60.4,-1.0
AZ,2001,10,60.8,-0.6
AZ,2001,11,61.6,0.2
AZ,2001,12,61.2,-0.2
AZ,2002,1,61.4,0.0
AZ,2002,2,61.5,0.1
AZ,2002,3,61.4,0.0
AZ,2002,4,61.7,0.3
AZ,2002,5,61.4,0.0
AZ,2002,6,61.5,0.1
AZ,2002,7,61.7,0.3
AZ,2002,8,61.8,0.4
AZ,2002,9,61.6,0.2
AZ,2002,10,61.2,-0.2
AZ,2002,11,61.1,-0.3
AZ,2002,12,61.2,-0.2
AZ,2003,1,61.7,0.3
AZ,2003,2,61.7,0.3
AZ,2003,3,61.7,0.3
AZ,2003,4,61.2,-0.2
AZ,2003,5,61.3,-0.1
AZ,2003,6,61.1,-0.3
AZ,2003,7,61.2,-0.2
AZ,2003,8,61.2,-0.2
AZ,2003,9,61.3,-0.1
AZ,2003,10,61.9,0.5
AZ,2003,11,61.7,0.3
AZ,2003,12,61.9,0.5
AZ,2004,1,61.4,0.0
AZ,2004,2,61.1,-0.3
AZ,2004,3,61.7,0.3
AZ,2004,4,61.9,0.5
AZ,2004,5,61.9,0.5
AZ,2004,6,61.9,0.5
AZ,2004,7,61.6,0.2
AZ,2004,8,61.4,0.0
AZ,2004,9,61.2,-0.2
AZ,2004,10,60.6,-0.8
AZ,2004,11,60.4,-1.0
AZ,2004,12,60.4,-1.0
AZ,2005,1,60.6,-0.8
AZ,2005,2,60.9,-0.5
AZ,2005,3,60.3,-1.1
AZ,2005,4,60.2,-1.2
AZ,2005,5,60.2,-1.2
AZ,2005,6,60.0,-1.4
AZ,2005,7,60.3,-1.1
AZ,2005,8,60.2,-1.2
AZ,2005,9,60.4,-1.0
AZ,2005,10,60.6,-0.8
AZ,2005,11,61.0,-0.4
AZ,2005,12,61.1,-0.3
AZ,2006,1,61.1,-0.3
AZ,2006,2,61.2,-0.2
AZ,2006,3,61.1,-0.3
AZ,2006,4,61.2,-0.2
AZ,2006,5,61.4,0.0
AZ,2006,6,61.8,0.4
AZ,2006,7,61.8,0.4
AZ,2006,8,61.8,0.4
AZ,2006,9,61.5,0.1
AZ,2006,10,61.3,-0.1
AZ,2006,11,61.3,-0.1
AZ,2006,12,61.1,-0.3
AZ,2007,1,60.7,-0.7
AZ,2007,2,60.6,-0.8
AZ,2007,3,61.1,-0.3
AZ,2007,4,61.2,-0.2
AZ,2007,5,61.0,-0.4
AZ,2007,6,60.8,-0.6
AZ,2007,7,60.8,-0.6
AZ,2007,8,61.0,-0.4
AZ,2007,9,61.4,0.0
AZ,2007,10,61.5,0.1
AZ,2007,11,61.7,0.3
AZ,2007,12,61.6,0.2
AZ,2008,1,61.7,0.3
AZ,2008,2,61.5,0.1
AZ,2008,3,61.3,-0.1
AZ,2008,4,61.2,-0.2
AZ,2008,5,60.8,-0.6
AZ,2008,6,60.8,-0.6
AZ,2008,7,60.6,-0.8
AZ,2008,8,60.5,-0.9
AZ,2008,9,60.5,-0.9
AZ,2008,10,60.6,-0.8
AZ,2008,11,60.4,-1.0
AZ,2008,12,60.6,-0.8
AZ,2009,1,61.1,-0.3
AZ,2009,2,61.2,-0.2
AZ,2009,3,61.3,-0.1
AZ,2009,4,61.2,-0.2
AZ,2009,5,61.8,0.4
AZ,2009,6,61.4,0.0
AZ,2009,7,61.6,0.2
AZ,2009,8,61.7,0.3
AZ,2009,9,61.7,0.3
AZ,2009,10,61.4,0.0
AZ,2009,11,61.4,0.0
AZ,2009,12,61.1,-0.3
AZ,2010,1,60.8,-0.6
AZ,2010,2,60.6,-0.8
AZ,2010,3,60.4,-1.0
AZ,2010,4,60.3,-1.1
AZ,2010,5,59.7,-1.7
AZ,2010,6,59.9,-1.5
AZ,2010,7,59.8,-1.6
AZ,2010,8,59.8,-1.6
AZ,2010,9,59.9,-1.5
AZ,2010,10,60.1,-1.3
AZ,2010,11,59.8,-1.6
AZ,2010,12,60.4,-1.0
AZ,2011,1,60.3,-1.1
AZ,2011,2,60.1,-1.3
AZ,2011,3,60.5,-0.9
AZ,2011,4,60.7,-0.7
AZ,2011,5,60.7,-0.7
AZ,2011,6,60.7,-0.7
AZ,2011,7,60.6,-0.8
AZ,2011,8,60.9,-0.5
AZ,2011,9,60.8,-0.6
AZ,2011,10,60.8,-0.6
AZ,2011,11,60.9,-0.5
AZ,2011,12,60.3,-1.1
AZ,2012,1,60.7,-0.7
AZ,2012,2,61.0,-0.4
AZ,2012,3,60.8,-0.6
AZ,2012,4,61.0,-0.4
AZ,2012,5,61.5,0.1
AZ,2012,6,61.7,0.3
AZ,2012,7,61.7,0.3
AZ,2012,8,61.5,0.1
AZ,2012,9,61.4,0.0
AZ,2012,10,61.5,0.1
AZ,2012,11,61.9,0.5
AZ,2012,12,62.1,0.7
AZ,2013,1,61.5,0.1
AZ,2013,2,61.3,-0.1
AZ,2013,3,61.5,0.1
AZ,2013,4,61.4,0.0
AZ,2013,5,61.3,-0.1
AZ,2013,6,61.3,-0.1
AZ,2013,7,61.4,0.0
AZ,2013,8,61.3,-0.1
AZ,2013,9,61.2,-0.2
AZ,2013,10,60.7,-0.7
AZ,2013,11,60.5,-0.9
AZ,2013,12,60.5,-0.9
AZ,2014,1,61.1,-0.3
AZ,2014,2,61.8,0.4
AZ,2014,3,61.7,0.3
AZ,2014,4,61.7,0.3
AZ,2014,5,61.6,0.2
AZ,2014,6,61.5,0.1
AZ,2014,7,61.5,0.1
AZ,2014,8,61.3,-0.1
AZ,2014,9,61.5,0.1
AZ,2014,10,62.0,0.6
AZ,2014,11,62.0,0.6
AZ,2014,12,62.3,0.9
AZ,2015,1,62.1,0.7
AZ,2015,2,62.3,0.9
AZ,2015,3,62.5,1.1
AZ,2015,4,62.4,1.0
AZ,2015,5,62.1,0.7
AZ,2015,6,62.2,0.8
AZ,2015,7,61.9,0.5
AZ,2015,8,62.3,0.9
AZ,2015,9,62.4,1.0
AZ,2015,10,62.3,0.9
AZ,2015,11,62.0,0.6
AZ,2015,12,61.8,0.4
AZ,2016,1,61.5,0.1
AZ,2016,2,61.4,0.0
AZ,2016,3,61.2,-0.2
AZ,2016,4,61.3,-0.1
AZ,2016,5,61.4,0.0
AZ,2016,6,61.6,0.2
AZ,2016,7,61.9,0.5
AZ,2016,8,61.6,0.2
AZ,2016,9,61.3,-0.1
AZ,2016,10,61.5,0.1
AZ,2016,11,61.9,0.5
AZ,2016,12,62.2,0.8
AZ,2017,1,62.2,0.8
AZ,2017,2,62.1,0.7
AZ,2017,3,62.3,0.9
AZ,2017,4,62.4,1.0
AZ,2017,5,62.5,1.1
AZ,2017,6,62.5,1.1
AZ,2017,7,62.4,1.0
AZ,2017,8,62.5,1.1
AZ,2017,9,62.6,1.2
AZ,2017,10,62.5,1.1
AZ,2017,11,62.9,1.5
AZ,2017,12,63.0,1.6
AZ,2018,1,63.5,2.1
AZ,2018,2,63.3,1.9
AZ,2018,3,62.9,1.5
AZ,2018,4,63.1,1.7
AZ,2018,5,63.3,1.9
AZ,2018,6,63.2,1.8
AZ,2018,7,63.3,1.9
AZ,2018,8,63.4,2.0
AZ,2018,9,63.7,2.3
AZ,2018,10,63.3,1.9
AZ,2018,11,62.6,1.2
AZ,2018,12,62.3,0.9
AZ,2019,1,61.8,0.4
AZ,2019,2,61.4,0.0
AZ,2019,3,61.3,-0.1
AZ,2019,4,61.1,-0.3
AZ,2019,5,60.4,-1.0
AZ,2019,6,60.2,-1.2
AZ,2019,7,60.1,-1.3
AZ,2019,8,60.3,-1.1
AZ,2019,9,60.1,-1.3
AZ,2019,10,60.1,-1.3
AZ,2019,11,60.3,-1.1
AZ,2019,12,60.3,-1.1
AZ,2020,1,60.4,-1.0
AZ,2020,2,60.8,-0.6
AZ,2020,3,60.7,-0.7
AZ,2020,4,60.6,-0.8
AZ,2020,5,61.5,0.1
AZ,2020,6,61.6,0.2
AZ,2020,7,61.7,0.3
AZ,2020,8,61.9,0.5
AZ,2020,9,62.0,0.6
AZ,2020,10,62.5,1.1
AZ,2020,11,62.6,1.2
AZ,2020,12,62.6,1.2
AZ,2021,1,62.5,1.1
AZ,2021,2,62.6,1.2
AZ,2021,3,62.4,1.0
AZ,2021,4,62.6,1.2
